id,user,activity,x_mean,x_std,x_max,x_min,x_median,x_skew,x_kurtosis,x_mad,x_abs_dev,y_mean,y_std,y_max,y_min,y_median,y_skew,y_kurtosis,y_mad,y_abs_dev,z_mean,z_std,z_max,z_min,z_median,z_skew,z_kurtosis,z_mad,z_abs_dev,mag_mean,mag_std,mag_energy,mag_entropy,x_fft_mean,x_fft_std,x_fft_max,x_fft_peak_freq,y_fft_mean,y_fft_std,y_fft_max,y_fft_peak_freq,z_fft_mean,z_fft_std,z_fft_max,z_fft_peak_freq,xy_corr,xz_corr,yz_corr,x_peak_dist_mean,y_peak_dist_mean,z_peak_dist_mean
s_11,u_1,Jogging,-5.44,7.4,3.68,-19.23,-2.41,-0.772,-0.9116,3.52,6.344,6.36,7.805,19.77,-4.44,4.555,0.4204,-1.203,6.246,6.75,-0.8,4.285,13.38,-13.82,-1.46,0.8306,1.964,1.57,2.982,11.41,8.64,32750.0,2.684,55.9,101.8,871.0,0.0,63.28,110.5,1017.0,0.0,43.4,34.0,220.2,42.0,-0.6606,5.966e-05,0.1123,8.21,6.91,6.773
s_12,u_1,Standing,6.914,0.8345,11.41,4.9,6.89,1.671,7.098,0.49,0.59,6.164,0.898,10.19,3.57,6.15,0.368,2.098,0.495,0.6807,0.4246,0.86,4.25,-1.31,0.42,1.063,2.328,0.655,0.661,9.37,0.7344,14120.0,1.717,15.99,86.6,1106.0,0.0,14.72,77.44,986.5,0.0,8.65,8.51,67.94,0.0,-0.402,0.2148,0.1705,5.1,4.793,5.96
s_13,u_1,Upstairs,-0.3054,1.829,5.33,-5.05,-0.21,-0.1641,0.158,1.11,1.42,9.39,3.48,19.66,0.8,9.51,0.02725,0.3572,2.04,2.63,0.3909,2.111,9.43,-5.52,0.23,0.4663,1.582,1.23,1.603,9.85,3.354,17330.0,2.65,19.39,13.195,61.97,30.0,45.66,118.1,1502.0,0.0,22.75,14.86,75.44,1.0,-0.11847,0.1059,-0.01926,7.45,4.688,5.133
s_14,u_1,Sitting,0.8623,0.03827,0.91,0.76,0.89,-0.611,-0.488,0.02,0.03424,-0.2164,0.02805,-0.15,-0.3,-0.23,0.00695,0.0631,0.0,0.02382,9.69,0.02742,9.77,9.62,9.7,-0.5015,0.2903,0.02,0.02254,9.734,0.02635,15150.0,1.951,1.283,10.836,137.9,0.0,0.529,2.709,34.62,0.0,10.0,122.2,1551.0,0.0,0.3086,-0.3699,-0.187,4.258,0.0,4.37
s_15,u_1,Walking,-1.028,2.748,4.82,-8.73,-0.76,-0.2379,-0.2573,1.995,2.238,9.914,4.48,19.66,2.07,9.41,0.2155,-0.6367,3.215,3.68,0.2554,4.188,17.08,-5.37,-0.84,1.981,3.916,1.38,2.906,11.0,4.863,23140.0,2.723,27.02,25.44,164.5,0.0,50.9,127.9,1587.0,0.0,41.44,33.1,232.8,14.0,0.39,0.413,0.4058,8.266,4.285,7.0
s_16,u_1,Jogging,-5.957,7.44,4.33,-19.23,-2.56,-0.6006,-1.125,4.215,6.64,6.633,8.04,19.77,-4.48,4.4,0.3635,-1.334,6.184,7.12,-0.6875,3.95,13.14,-10.61,-1.365,1.196,1.726,1.59,2.781,11.86,8.66,34500.0,2.723,56.56,106.5,953.0,0.0,71.3,110.9,1061.0,0.0,40.78,30.16,175.4,32.0,-0.6357,-0.1638,0.1984,10.305,5.242,6.816
s_17,u_1,Downstairs,7.45,3.617,18.47,0.27,6.836,0.544,0.302,2.205,2.848,5.88,2.969,14.37,0.27,5.28,0.5645,-0.249,1.965,2.395,0.874,2.016,10.27,-2.07,0.285,1.783,4.21,0.935,1.47,10.01,4.074,18690.0,2.637,41.56,96.1,1192.0,0.0,33.6,76.25,940.5,0.0,22.84,15.83,139.9,0.0,0.4858,0.1493,-0.0993,6.08,6.12,5.035
s_18,u_1,Jogging,-6.07,7.445,5.01,-19.23,-3.04,-0.705,-1.006,3.77,6.43,6.527,8.3,19.77,-6.59,4.613,0.4148,-1.32,6.477,7.305,-0.634,3.93,12.91,-9.11,-1.38,1.291,1.924,1.51,2.72,11.87,8.875,35140.0,2.684,60.12,105.56,971.5,0.0,71.75,112.6,1044.0,0.0,38.53,32.44,190.2,43.0,-0.604,-0.10547,0.2235,10.305,6.25,7.45
s_19,u_1,Walking,-0.5796,2.787,7.35,-8.28,-0.57,0.1646,0.2493,1.785,2.146,9.6,3.664,19.16,1.8,9.47,0.1654,-0.4817,2.664,2.959,0.0377,3.17,15.17,-5.01,-0.74,2.02,6.414,1.255,2.158,10.41,3.938,19800.0,2.736,28.61,21.84,105.2,34.0,44.94,122.0,1537.0,0.0,32.34,23.72,120.1,13.0,0.3936,0.3865,0.2964,9.06,4.41,7.668
s_20,u_1,Upstairs,2.137,2.37,9.7,-4.63,2.03,0.2615,1.066,1.335,1.773,8.73,4.18,19.77,-8.47,8.71,-0.677,3.855,1.67,2.734,1.417,3.473,18.02,-4.02,0.61,2.064,5.855,1.56,2.396,10.21,3.686,18860.0,2.545,27.2,29.81,341.8,0.0,46.75,113.1,1397.0,0.0,34.94,32.1,226.8,0.0,0.2969,0.1597,-0.2593,5.066,4.727,7.285
s_21,u_1,Upstairs,-0.09796,4.465,7.63,-14.33,1.04,-0.53,-0.4087,2.99,3.695,7.625,2.71,17.12,-0.27,7.89,-0.2566,0.811,1.51,2.076,3.197,2.623,10.23,-2.34,2.81,0.3643,-0.0935,1.58,2.09,9.82,2.465,16400.0,2.299,32.03,46.5,361.0,1.0,36.44,95.7,1220.0,0.0,27.36,44.6,511.8,0.0,0.125,-0.159,-0.1935,3.74,5.242,6.08
s_22,u_1,Jogging,-5.07,7.395,3.98,-19.23,-2.22,-0.797,-0.8384,3.984,6.344,5.918,7.89,19.77,-5.41,3.105,0.611,-1.129,4.906,6.89,-1.013,4.48,15.75,-15.24,-1.29,0.756,2.234,1.82,3.066,11.0,8.82,31800.0,2.652,62.16,94.8,811.0,0.0,70.56,102.94,947.0,0.0,45.25,36.44,234.1,41.0,-0.6934,-0.11847,0.1417,9.25,6.168,7.4
s_23,u_1,Downstairs,-1.286,1.596,2.3,-5.05,-1.42,0.1914,-0.449,1.07,1.284,9.695,3.436,18.12,3.64,8.75,0.508,-0.6787,2.28,2.88,0.9883,2.318,10.46,-3.87,0.76,0.9,1.428,1.37,1.769,10.21,3.46,18610.0,2.842,17.23,19.38,205.8,0.0,41.78,123.2,1551.0,0.0,25.36,19.34,158.1,0.0,0.183,0.455,0.08844,8.28,6.125,4.37
s_24,u_1,Downstairs,3.383,4.035,14.14,-8.89,3.836,-0.245,0.3306,2.836,3.178,8.11,3.287,18.73,-1.42,7.4,0.607,0.9673,1.65,2.51,1.462,2.246,13.59,-3.83,1.14,1.561,6.234,1.24,1.594,10.04,3.258,17840.0,2.72,37.56,55.0,541.0,0.0,40.7,102.94,1298.0,0.0,24.75,23.17,234.0,0.0,-0.0249,-0.0752,0.0792,6.652,5.57,5.344
s_25,u_1,Jogging,-6.21,7.78,5.56,-19.23,-2.89,-0.5312,-1.258,4.62,6.95,6.48,8.29,19.77,-6.89,4.195,0.3855,-1.298,6.55,7.258,-1.225,3.996,14.6,-9.0,-1.63,1.414,2.965,1.84,2.732,12.234,8.805,36350.0,2.744,50.28,115.44,994.0,0.0,67.56,114.6,1037.0,0.0,41.16,33.2,198.2,42.0,-0.639,-0.1482,0.2041,8.69,6.863,8.39
s_26,u_1,Jogging,6.74,8.31,19.95,-5.01,3.66,0.4302,-1.366,5.88,7.496,3.045,7.77,19.66,-10.95,1.325,0.5713,-0.6846,5.074,6.406,0.3296,4.176,15.32,-10.88,-0.34,0.981,2.111,1.75,2.9,11.62,8.17,32270.0,2.752,72.4,114.4,1078.0,0.0,69.56,79.4,516.5,22.0,44.3,29.06,163.8,22.0,0.4507,0.352,0.1359,6.953,7.4,6.2
s_27,u_1,Walking,-1.033,2.617,5.82,-7.46,-0.89,-0.02937,0.1487,1.6,2.006,9.586,3.697,18.2,1.57,9.49,0.1495,-0.398,2.21,2.904,0.1802,3.09,12.56,-5.05,-0.57,1.541,2.723,1.17,2.21,10.37,3.957,19700.0,2.74,25.23,25.1,165.2,0.0,45.06,121.94,1534.0,0.0,30.84,24.11,138.2,14.0,0.2034,0.2336,0.3574,11.0,4.17,6.26
s_28,u_1,Sitting,1.188,0.0573,1.38,0.99,1.18,0.11255,0.4463,0.05,0.04663,-0.02544,0.0437,0.11,-0.15,-0.04,0.328,0.8164,0.04,0.03464,9.63,0.03812,9.7,9.53,9.62,-0.171,-0.1982,0.04,0.03186,9.71,0.0362,15080.0,2.467,1.77,14.945,190.1,0.0,0.4846,0.417,4.07,0.0,10.06,121.44,1542.0,0.0,0.387,-0.326,-0.077,5.81,17.58,3.5
s_29,u_1,Walking,-1.275,2.764,6.66,-9.0,-1.18,-0.02606,0.4917,1.455,2.057,9.86,3.879,19.45,2.76,9.83,0.1831,-0.726,2.965,3.205,0.19,3.41,12.98,-4.63,-0.48,1.501,2.562,1.57,2.416,10.766,4.15,21310.0,2.748,26.97,27.47,204.0,0.0,47.72,125.2,1577.0,0.0,31.98,29.05,203.6,14.0,0.2358,0.4114,0.265,9.87,4.695,6.04
s_30,u_1,Standing,6.15,0.3271,7.89,5.52,6.13,1.398,5.01,0.23,0.2522,6.973,0.1643,7.59,6.28,6.97,-0.4438,4.004,0.08,0.1111,-0.05505,0.08777,0.15,-0.38,-0.04,-0.7803,1.495,0.04,0.0661,9.305,0.2151,13850.0,2.47,9.555,77.3,984.0,0.0,8.766,87.8,1116.0,0.0,0.922,0.931,8.81,0.0,-0.3347,-0.3118,0.06433,3.256,4.027,9.6
s_31,u_1,Downstairs,5.38,4.934,17.97,-8.89,6.15,-0.4736,-0.02652,2.715,3.848,6.703,3.42,18.73,-1.42,6.09,0.869,1.103,1.915,2.602,1.257,2.416,13.59,-3.83,0.74,1.47,4.57,1.51,1.857,10.2,3.623,18770.0,2.756,46.9,79.5,860.5,0.0,37.97,87.25,1072.0,0.0,25.77,22.88,201.0,0.0,-0.07855,-0.00231,-0.02817,4.1,6.434,5.133
s_32,u_1,Upstairs,-0.5557,1.878,5.67,-6.51,-0.31,-0.3818,1.182,1.11,1.427,9.484,3.043,18.44,0.61,9.29,0.1354,0.894,1.435,2.229,0.5015,2.229,9.38,-4.44,0.15,0.9272,1.488,1.33,1.72,10.0,2.879,17310.0,2.553,18.83,16.11,88.94,0.0,41.12,119.06,1517.0,0.0,24.52,15.3,80.2,0.0,0.0018,-0.0018,-0.292,7.95,5.258,5.207
s_33,u_1,Jogging,-6.19,7.87,6.47,-19.23,-2.885,-0.509,-1.21,4.555,6.973,6.402,8.445,19.77,-6.51,4.14,0.2998,-1.3125,6.855,7.47,-0.957,3.957,13.76,-9.53,-1.61,1.009,1.4375,1.82,2.85,12.32,8.8,36670.0,2.736,65.6,108.4,991.0,0.0,77.94,109.06,1024.0,0.0,41.6,30.34,153.1,0.0,-0.613,-0.105,0.2166,8.87,7.19,6.477
s_34,u_1,Walking,-0.302,2.475,6.59,-7.01,-0.38,0.4155,0.5737,1.385,1.824,9.9,3.322,18.47,2.34,9.734,0.09784,-0.4346,2.164,2.719,0.1616,2.795,11.11,-4.14,-0.76,1.623,2.785,0.95,2.01,10.484,3.623,19700.0,2.69,20.97,23.56,125.0,33.0,41.47,125.4,1584.0,0.0,26.78,23.14,161.8,13.0,0.3567,0.5083,0.333,9.734,5.03,7.43
s_35,u_1,Jogging,-1.397,4.902,10.31,-14.41,-1.395,-0.1875,-0.1621,3.275,3.896,8.59,8.62,19.77,-6.97,7.57,-0.08215,-1.431,8.1,7.8,0.547,4.957,18.02,-12.15,-0.23,0.625,0.4653,3.314,3.938,12.59,6.344,31820.0,2.738,48.3,42.72,223.6,0.0,71.0,136.5,1374.0,0.0,48.88,39.88,223.9,10.0,-0.4133,0.349,-0.00644,5.69,7.0,4.484
s_36,u_1,Downstairs,-1.503,2.307,3.76,-9.23,-1.32,-0.4492,0.556,1.435,1.806,9.55,4.086,19.11,2.79,8.69,0.7114,-0.4167,2.45,3.332,0.895,2.367,11.26,-3.91,0.27,1.656,4.15,1.07,1.718,10.24,4.125,19500.0,2.86,24.33,24.94,240.5,0.0,47.44,122.5,1528.0,0.0,26.58,17.83,143.2,0.0,0.2289,0.398,0.1636,9.375,6.477,5.5
s_37,u_1,Jogging,6.47,9.23,19.95,-6.82,3.32,0.3428,-1.464,6.81,8.336,4.223,9.53,19.77,-15.36,1.9,0.2825,-1.089,6.703,8.14,-1.132,4.36,11.99,-11.84,-0.97,0.251,0.2659,2.24,3.26,13.5,8.59,40960.0,2.875,81.56,116.94,1035.0,0.0,72.75,109.94,789.0,22.0,42.97,37.47,229.4,11.0,0.4475,0.2108,0.01519,7.4,7.4,6.41
s_38,u_1,Standing,7.527,0.83,9.7,4.71,7.78,-0.874,1.111,0.29,0.62,5.28,1.096,10.23,2.6,4.82,1.502,3.305,0.245,0.8423,0.985,0.887,4.71,-1.31,1.18,0.5225,3.404,0.23,0.604,9.37,0.6455,14104.0,1.4375,15.13,94.56,1204.0,0.0,14.62,66.6,845.0,0.0,9.625,13.734,157.6,0.0,-0.6123,0.1683,-0.052,3.432,3.5,3.379
s_39,u_1,Walking,-0.6387,2.709,7.01,-8.54,-0.55,0.02142,0.41,1.5,2.05,9.78,3.629,19.53,2.83,9.62,0.1904,-0.465,2.74,2.94,0.1818,2.898,12.98,-4.4,-0.5,1.827,4.477,1.15,2.04,10.484,3.887,20000.0,2.72,26.31,23.39,120.1,34.0,45.3,123.94,1565.0,0.0,29.73,21.58,111.7,13.0,0.2942,0.4177,0.3354,9.06,4.812,7.383
s_40,u_1,Jogging,6.824,8.7,19.95,-5.63,3.984,0.3845,-1.387,6.137,7.758,3.992,8.414,19.77,-12.64,1.82,0.4036,-0.9907,6.055,7.234,-0.583,4.844,13.4,-13.18,-0.78,0.4993,0.637,2.59,3.541,12.82,8.266,37250.0,2.867,73.6,118.94,1092.0,0.0,69.3,95.25,638.5,0.0,48.06,38.7,211.1,11.0,0.39,0.3528,0.0484,6.727,7.4,6.566
s_41,u_1,Walking,-0.898,2.543,5.79,-7.63,-0.63,-0.0928,0.3906,1.395,1.948,9.734,3.697,18.31,2.56,9.77,0.1517,-0.706,2.66,3.055,0.10956,3.176,11.41,-4.29,-0.74,1.779,3.219,1.2,2.225,10.484,3.99,20130.0,2.732,24.48,23.77,143.6,0.0,42.75,124.56,1558.0,0.0,29.61,27.2,169.4,14.0,0.2463,0.3657,0.4033,10.0,4.305,7.0
s_42,u_1,Upstairs,1.609,1.684,6.93,-2.98,1.53,0.3308,0.5767,0.98,1.297,9.06,3.06,18.39,1.14,8.77,0.02081,0.2023,1.95,2.395,1.066,2.18,9.53,-2.49,0.72,1.196,1.822,1.26,1.623,9.73,2.857,16450.0,2.621,19.23,22.31,257.5,0.0,36.8,115.25,1450.0,0.0,22.22,21.19,170.6,0.0,0.294,-0.007645,-0.2546,4.453,5.48,5.555
s_43,u_1,Walking,-1.011,2.639,5.63,-8.08,-0.91,-0.0229,0.3577,1.35,1.967,9.734,4.094,19.23,1.5,9.36,0.1853,-0.5703,2.725,3.367,-0.1653,3.3,13.76,-5.05,-0.95,1.849,4.402,1.38,2.283,10.555,4.35,20860.0,2.674,26.78,23.67,161.8,0.0,48.56,124.4,1557.0,0.0,32.2,26.69,204.9,14.0,0.2693,0.4736,0.3232,10.64,4.84,6.863
s_44,u_1,Jogging,-5.918,8.05,6.05,-19.23,-2.314,-0.5684,-1.253,4.363,7.207,6.336,8.234,19.77,-3.72,3.66,0.4773,-1.296,5.746,7.26,-2.375,4.895,12.53,-14.86,-2.605,0.5825,1.289,2.145,3.488,12.28,9.31,37980.0,2.682,57.53,112.5,946.5,0.0,68.7,112.06,1014.0,0.0,50.62,46.6,379.8,0.0,-0.773,0.06183,-0.0219,6.863,7.895,8.336
s_45,u_1,Jogging,7.48,8.12,19.95,-5.79,4.85,0.327,-1.449,6.234,7.348,3.875,7.734,19.77,-10.15,0.855,0.662,-0.768,4.27,6.555,0.5044,4.105,14.9,-7.86,-0.345,1.13,1.551,1.935,2.99,11.82,8.61,34200.0,2.766,75.56,117.44,1197.0,0.0,65.3,87.75,620.0,0.0,43.44,29.14,193.2,43.0,0.5713,0.2452,-0.02461,5.32,7.5,5.32
s_46,u_1,Walking,-0.2114,2.832,8.77,-6.97,-0.57,0.4705,0.0769,1.995,2.297,9.52,4.582,19.61,1.18,9.13,0.1566,-0.869,3.52,3.81,0.0673,3.82,16.94,-4.71,-1.015,1.975,4.242,1.34,2.672,10.57,4.75,21490.0,2.688,24.39,26.38,189.5,7.0,55.75,121.5,1524.0,0.0,39.47,27.9,203.5,14.0,0.5254,0.3403,0.2291,7.74,4.742,6.637
s_47,u_1,Walking,-0.585,2.77,8.12,-7.35,-0.31,-0.109,0.5625,1.535,2.074,9.81,3.63,19.0,2.98,9.555,0.3044,-0.441,2.395,2.92,-0.01425,2.98,11.75,-5.01,-0.65,1.589,2.826,1.075,2.115,10.52,3.957,20220.0,2.668,26.64,23.94,122.3,20.0,44.25,124.75,1570.0,0.0,30.34,22.38,102.44,14.0,0.1931,0.2866,0.2296,10.5,4.594,5.918
s_48,u_1,Upstairs,-5.277,2.148,0.5,-10.08,-5.43,0.3054,-0.1844,1.405,1.717,8.44,2.807,16.81,1.65,8.28,0.03674,0.10834,1.555,2.135,0.934,2.0,8.66,-2.72,0.82,0.87,1.281,1.23,1.53,10.35,3.041,18620.0,2.697,26.6,67.0,844.5,0.0,35.44,106.75,1350.0,0.0,22.52,16.53,149.5,0.0,-0.592,0.268,0.0705,0.0,5.17,4.574
s_49,u_1,Walking,-1.322,2.75,4.18,-8.81,-0.985,-0.5264,0.2705,1.425,2.08,9.86,3.814,18.23,2.49,9.36,0.1708,-0.6157,2.62,3.105,0.2622,3.04,16.02,-4.25,-0.5,1.97,6.418,1.41,2.184,10.66,4.105,20860.0,2.633,26.75,27.83,211.5,0.0,46.47,125.44,1578.0,0.0,31.6,22.14,111.7,14.0,0.1005,0.1976,0.273,8.875,4.727,6.418
s_50,u_1,Walking,-1.409,2.738,5.52,-8.96,-1.08,-0.2372,0.2355,1.625,2.11,9.91,4.258,19.19,2.45,9.52,0.2205,-0.809,3.2,3.514,-0.2034,3.53,15.85,-5.18,-0.82,1.94,5.01,1.325,2.37,10.82,4.605,22110.0,2.715,25.7,29.27,225.5,0.0,51.06,126.44,1585.0,0.0,35.75,26.88,208.5,14.0,0.1914,0.458,0.3716,10.07,4.75,8.94
s_51,u_1,Walking,-0.2966,2.572,7.27,-5.6,-0.305,0.457,0.01231,1.685,2.03,9.81,4.133,19.42,2.18,10.06,0.1339,-0.489,2.525,3.328,-0.04645,4.145,17.73,-5.86,-0.84,2.2,5.875,1.55,2.676,10.77,4.613,21970.0,2.578,23.64,22.67,123.0,7.0,47.34,126.1,1570.0,0.0,38.25,35.88,231.1,14.0,0.5146,0.5825,0.321,7.45,4.332,8.336
s_52,u_1,Jogging,7.266,8.76,19.95,-4.33,3.51,0.3552,-1.477,6.21,7.96,3.781,8.15,19.77,-9.43,2.395,0.4844,-0.8486,5.1,6.742,-0.3315,4.5,13.44,-9.43,-1.06,0.9917,1.083,1.96,3.242,12.55,8.55,36900.0,2.756,61.9,130.0,1162.0,0.0,56.44,98.6,715.0,22.0,41.6,39.03,218.9,33.0,0.418,0.3486,-0.03583,6.043,7.2,6.2
s_53,u_1,Downstairs,-1.332,2.287,5.37,-9.3,-1.29,-0.276,1.79,1.15,1.648,9.164,3.398,17.44,-0.53,8.27,0.366,-0.2097,2.086,2.77,1.764,2.441,10.5,-3.87,1.69,0.7134,1.555,1.46,1.833,10.06,3.215,17860.0,2.848,24.67,22.62,213.0,0.0,42.47,116.1,1466.0,0.0,26.95,26.92,282.2,0.0,0.3125,0.00321,-0.1487,11.25,6.773,4.625
s_54,u_1,Jogging,-6.008,8.06,5.48,-19.23,-2.836,-0.496,-1.258,5.016,7.145,7.043,8.19,19.77,-5.56,5.13,0.2776,-1.32,6.875,7.152,-1.799,4.38,12.03,-12.98,-2.39,0.805,1.047,1.975,3.156,12.84,8.664,38430.0,2.738,64.5,109.56,961.0,0.0,72.44,115.9,1127.0,0.0,45.34,39.12,287.8,0.0,-0.65,0.002605,0.2201,8.69,7.047,6.523
s_55,u_1,Jogging,-5.98,7.68,10.65,-19.23,-3.234,-0.4468,-1.019,4.73,6.676,6.36,8.33,19.77,-11.11,5.05,0.1918,-1.221,6.91,7.223,-0.937,4.938,14.67,-15.36,-1.385,0.5103,1.001,2.35,3.572,12.664,8.32,36740.0,2.867,54.22,110.5,957.0,0.0,70.9,111.94,1017.5,0.0,51.3,37.5,240.5,42.0,-0.516,-0.05157,0.2128,11.766,5.848,6.08
s_56,u_1,Standing,4.125,0.1892,4.63,3.72,4.12,0.1667,-0.301,0.14,0.1523,8.38,0.1422,8.62,8.01,8.39,-0.3804,-0.65,0.11,0.1192,-0.012,0.0813,0.19,-0.23,0.0,0.1443,-0.3433,0.04,0.0671,9.34,0.1416,13976.0,2.875,6.117,51.88,660.0,0.0,9.91,105.56,1341.0,0.0,0.8135,0.6475,3.139,1.0,-0.1519,0.378,-0.3667,3.488,3.1,5.69
s_57,u_1,Walking,-0.576,2.791,7.25,-8.5,-0.59,-0.04794,0.505,1.25,2.049,9.75,3.268,18.12,3.49,9.56,0.2842,-0.3816,2.125,2.652,0.0803,2.814,10.46,-3.72,-0.57,1.438,2.004,1.36,2.078,10.45,3.531,19490.0,2.723,26.55,24.38,144.2,21.0,38.88,124.1,1560.0,0.0,26.11,24.23,173.6,14.0,0.473,0.3472,0.3718,10.57,5.1,7.047
s_58,u_1,Jogging,-5.91,7.875,5.18,-19.23,-2.74,-0.5684,-1.126,4.484,6.918,6.6,8.58,19.77,-7.08,5.125,0.2742,-1.335,7.316,7.48,-1.463,4.113,9.38,-11.41,-1.73,0.3765,0.11896,2.105,3.08,12.65,8.55,37300.0,2.8,64.94,106.25,945.5,0.0,72.44,116.2,1056.0,0.0,39.22,38.9,234.0,0.0,-0.5215,-0.0286,0.2328,7.94,6.25,5.918
s_59,u_1,Walking,-0.9463,2.508,6.89,-6.09,-1.12,0.463,0.402,1.29,1.87,9.76,3.791,18.77,2.87,9.17,0.2734,-0.5435,2.6,3.062,-0.04776,3.133,13.02,-4.99,-0.93,1.968,4.734,0.99,2.166,10.49,4.066,20260.0,2.662,24.67,23.25,151.4,0.0,46.03,124.2,1561.0,0.0,30.72,25.06,162.6,14.0,0.3958,0.511,0.3855,11.664,4.934,7.6
